id,name,gender,birth,nationality
27,"Beach, Thomas",Male,1738,United Kingdom
2306,"Beale, Mary",Female,1633,United Kingdom
715,"Beament, Tib",Male,1941, Canada
2705,"Beard, John",Male,1943,United Kingdom
716,"Beardsley, Aubrey",Male,1872,United Kingdom
28,"Beare, George",Male,1743,
717,"Beattie, Basil",Male,1935,United Kingdom
29,"Beaumont, Sir George Howland, Bt",Male,1753,United Kingdom
10983,"Beban, Breda",Female,1952, Jugoslavija
718,"Becher, Prof. Bernd",,1931,
2557,"Becker, Ferdinand",Male,1793,
719,"Becker, Harald",Male,1940,Germany
6303,"Beckley, Bill",Male,1946,United States
720,"Beckmann, Max",Male,1884,Germany
9118,"Bedia, Jose",Male,1959,
30,"Beechey, Sir William",Male,1753,United Kingdom
721,"Beer, Richard",Male,1928,United Kingdom
722,"Beerbohm, Sir Max",Male,1872,United Kingdom
723,"Beeton, Alan",Male,1880,United Kingdom
724,"Beggs, Guy",Male,1947, South Africa
31,"Behnes, William",Male,1795,United Kingdom
725,"Belcher, George",Male,1875,United Kingdom
11822,"Belhaj-Kacem, Mehdi",Male,1973,France
726,"Bell, Graham",Male,1910, South Africa
32,"Bell, John Zephaniah",Male,1794,United Kingdom
727,"Bell, Larry",Male,1939,United States
728,"Bell, Laura Anning",Female,1867,France
729,"Bell, Robert Anning",Male,1863,United Kingdom
730,"Bell, Trevor",Male,1930,United Kingdom
731,"Bell, Vanessa",Female,1879,United Kingdom
732,"Bellany, John",Male,1942,United Kingdom
733,"Bellegarde, Claude",Male,1927,France
735,"Bellingham-Smith, Elinor",Female,1906,United Kingdom
736,"Bellmer, Hans",Male,1902,Poland
2618,"Belloguet, A.",,1800,
2549,"Benazech, Peter Paul",Male,1744,
18264,"Bendix Skyum Larsen, Nikolaj",,1971,
7290,"Benglis, Lynda",Female,1941,United States
737,"Benjamin, Anthony",Male,1931,United Kingdom
33,"Bennett, William",Male,1811,
738,"Benois, Alexander",Male,1870,Russia
739,"Benois, Nadia",Female,1896,Russia
2240,"Benrath, Frédéric",Male,1930,France
740,"Benson, Abraham Harris",Male,1878,United Kingdom
741,"Béraud, Jean",Male,1849,Russia
742,"Berber, Mersad",Male,1940,Bosnien-Hercegovina
743,"Berg, Adrian",Male,1929,United Kingdom
18242,"Bergvall, Caroline",,1962,
2481,"Berkeley, Rev C J R",Male,,
744,"Berman, Eugène",Male,1899,Russia
745,"Bernik, Janez",Male,1933,Slovenia
746,"Berry, John, CBE",Male,1925,
2234,"Berthot, Jake",Male,1939,United States
34,"Bettes, John",Male,1531,
747,"Beuys, Joseph",Male,1921,Germany
748,"Bevan, Robert",Male,1865,United Kingdom
2371,"Bevan, Tony",Male,1951,United Kingdom
35,"Bewick, Thomas",Male,1753,United Kingdom
5469,"Bhimji, Zarina",Female,1963, Uganda
749,"Bicât, André",Male,1909,United Kingdom
2296,"Bickerton, Ashley",Male,1959,Barbados
750,"Biederman, Charles",Male,1906,United States
15999,"Biermann, Aenne",Female,1893,Germany
1658,"Bigge, John",Male,1892,United Kingdom
12110,"Bill, Simon",Male,1958,United Kingdom
2749,"Billingham, Richard",Male,1970,United Kingdom
751,"Binning, Bertram",Male,1909, Canada
752,"Bionda, Mario",Male,1913,Italy
753,"Birch, Samuel John Lamorna",Male,1869,United Kingdom
36,"Bird, Edward",Male,1762,United Kingdom
754,"Bird, John",Male,1945,United Kingdom
16782,"Birdhead (Ji Weiyu, born 1980; Song Tao, born 1979)",Male,2004,
755,"Bishop, Henry",Male,1868,United Kingdom
756,"Bissier, Julius",Male,1893,Germany
757,"Bissière, Roger",Male,1886,France
758,"Bissill, George",Male,1896,United Kingdom
6500,"Bjørlo, Per Inge",Male,1952,Norway
9260,Black Audio Film Collective (John Akomfrah; Reece Auguis; Edward George; Lina Gopaul; Avril Johnson; David Lawson; Trevo,,1958,
11563,"Black, Karla",Female,1972,United Kingdom
759,"Black, Sheila",Female,,
760,"Blackadder, Elizabeth",Female,1931,United Kingdom
761,"Blacker, Kate",Female,1955,United Kingdom
2245,"Blais, Jean-Charles",Male,1956,France
37,"Blake, Benjamin",Male,1790,
